Artist,Album,Play count,Release year,Release type
The Smiths,The Troy Tate Sessions,176,,
Akira Yamaoka,Silent Hill 2 Soundtrack,176,,
Pearl Jam,Ten,176,1991,Album
Broken Social Scene,You Forgot It In People,176,2002,Album
Yo La Tengo,I Am  Not Afraid Of  You And I Will Beat Your Ass,175,,
Chapterhouse,Whirlpool,174,1991,Album
The National,Alligator,173,2005,Album
Pearl Jam,Vs.,173,1993,Album
The Cure,The Head on the Door,172,1985,Album
Hüsker Dü,New Day Rising,172,1985,Album
Depeche Mode,Violator,170,1990,Album
Nico,Chelsea Girl,170,1967,Album
Joy Division,Still,168,1981,Compilation
Alex G,TRICK,165,2012,Album
The Heartbreaks,Liar My Dear,165,2010,Single
Interpol,Turn on the Bright Lights,165,2002,Album
The Shins,Wincing the Night Away,162,2007,Album
Pavement,Wowee Zowee,161,1995,Album
Mew,Frengers,161,2003,Album
Bryan Ferry,Boys and Girls,161,1985,Album
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders From Mars,160,1972,Album
The Cure,Boys Don't Cry,160,1979,Single
Gang of Four,Entertainment!,160,1979,Album
Airiel,Winks & Kisses: Melted,158,2004,EP
Orange Juice,The Glasgow School,158,2005,Compilation
The Sundays,Blind,157,1992,Album
Talk Talk,The Party's Over,156,1982,Album
Soccer Mommy,Clean,155,2018,Album
Lowlife,Diminuendo,155,1987,Album
Spiritualized,Ladies and Gentlemen We Are Floating in Space,155,1997,Album
Air,The Virgin Suicides,154,2000,Soundtrack
Pixies,Surfer Rosa,153,1988,Album
Makthaverskan,II,153,2014,Unknown
Beach Fossils,Clash the Truth,152,2013,Album
Foxes in Fiction,Swung From The Branches,151,2010,Album
Orchestral Manoeuvres in the Dark,Dazzle Ships,151,1983,Album
Duster,Stratosphere,150,1998,Album
Blondie,Parallel Lines,149,1978,Album
Makthaverskan,Ill,149,2017,Album
Los Campesinos!,No Blues,149,2013,Album
Crystal Castles,(II),148,,
Nirvana,Nevermind,148,1991,Album
Brian Eno,Another Green World,148,1975,Album
Morrissey,Bona Drag,147,1990,Compilation
The Psychedelic Furs,Forever Now,147,1982,Album
Pale Saints,The Comforts of Madness,147,1990,Album
My Bloody Valentine,The New Record by My Bloody Valentine,147,1986,Unknown
The Chameleons,This Never Ending Now,146,2002,Album
Neutral Milk Hotel,On Avery Island,146,1996,Album
Hüsker Dü,Candy Apple Grey,146,1986,Album
The National,High Violet,145,2010,Album
Pearl Jam,Riot Act,145,2002,Album
Can,Ege Bamyasi,144,1972,Album
Ruby Haunt,Sugar,144,2016,Album
Wire,A Bell Is a Cup Until It Is Struck,143,1988,Album
Tears for Fears,The Hurting,143,1983,Album
The Pastels,Truckload Of Trouble,143,1993,Compilation
starry cat,starry cat,142,2013,Album
Johnny Hates Jazz,Turn Back The Clock,142,1988,Album
Slowdive,Pygmalion Demos,140,2016,Album
This Mortal Coil,It'll End in Tears,138,1984,Album
A Beacon School,Cola,138,2018,Album
Drop Nineteens,Delaware,138,1992,Album
American Football,American Football,137,1998,EP
The Essence,Purity,137,1985,Unknown
Suede,Suede,137,1993,Album
Phoenix,Wolfgang Amadeus Phoenix,137,2009,Album
The Depreciation Guild,Spirit Youth,137,2010,Album
The Pains of Being Pure at Heart,Days of Abandon,136,2014,Album
