Artist,Album,Play count,MBID,Release year,Release type
New Radicals,Maybe You've Been Brainwashed Too,16,5b16f99a-118a-47b7-83b3-4af1a9ed91d9,1998,Album
Pylon,Chomp,16,44a243ac-1cde-4992-8957-384b3ac8fba7,1983,Album
Shop Assistants,Will Anything Happen,16,019e8a16-cd89-40ea-a9fb-2b328e83c3fd,1986,Album
The Church,Starfish,16,0118dc19-b32d-477f-acbd-0b14a7f9bc3b,1988,Album
Wire,154,16,1c497282-290a-4ac3-b52e-9d160e28ac28,1979,Album
Alex G,RACE,15,6299f2e7-11d9-4cce-8aff-855a38d91408,2010,Album
Aphex Twin,Selected Ambient Works Volume II,15,178a1607-07c0-4b90-9ec1-8baad7b0b651,1994,Album
Le Tigre,Le Tigre,15,233b7916-ae58-3278-9907-f3b591390651,1999,Album
SALES,SALES LP,15,5be4baa3-e21c-4db4-882e-3975c2ed30d6,2016,Album
Small Black,Small Black EP,15,c0872afa-87f9-4272-a5c2-2f839b6b0793,2009,EP
The Brian Jonestown Massacre,Methodrone,15,14d10939-087c-4fb3-8741-859f774d4d5a,1995,Album
The Chameleons,Strange Times,15,0f49e2c8-9005-41c6-89a8-1e77971cdbe1,1986,Album
The Radio Dept.,Clinging to a Scheme,15,cc6f7a05-e1c4-4039-9eb3-8c8ccd37e6b1,2010,Album
Alex G,DSU,14,0cc715b2-e579-4da1-b402-d03bc9a08f66,2014,Album
Car Seat Headrest,Twin Fantasy,14,09ac6b9a-dbb1-4cb4-bc3b-d50ca0e07c0f,2011,Album
Castlebeat,VHS,14,403cc204-199e-4b8d-894c-f7876526b748,2018,Album
Galaxie 500,Today,14,080b2661-4f80-390e-9f00-64110311b91c,1988,Album
Little Nemo,Turquoise Fields,14,4880477b-1175-4470-8538-eff75f14638b,1990,Album
Tanukichan,Sundays,14,c5840b22-dd2a-49dc-9dc2-94d5065be29f,2018,Album
The Radio Dept.,Lesser Matters,14,17c8235d-294c-404e-baa4-be6dfa163e9e,2003,Album
The Replacements,Pleased to Meet Me,14,3f5af9a8-b124-4bc0-b55a-0a419f72943c,1987,Album
A Flock of Seagulls,A Flock Of Seagulls,13,0d2f45c4-b0cc-3f2d-8c4f-f76b7c25245b,1982,Album
ABC,The Lexicon of Love,13,2cebb456-e51c-3ffd-a1a4-6a003990d456,1982,Album
Alex G,Beach Music,13,5e1e12a8-a48e-49e1-8723-760a683e5ede,2015,Album
Aphex Twin,Richard D. James Album,13,16ca684d-53bc-4777-8129-6f779bf26ac9,1996,Album
Interpol,Our Love to Admire,13,0ebf0f13-072e-33cd-9a25-17ed74c50da3,2007,Album
New Order,Technique,13,01681b1d-3068-3689-b879-efefde1f7b3b,1989,Album
Peter Gabriel,So,13,01e821e6-77d5-4dc5-ac06-e12957b98e68,1986,Album
Simple Minds,New Gold Dream (81/82/83/84),13,38bf5268-2c09-4241-9575-14fff756fcf7,1982,Album
Slowdive,Souvlaki,13,07d02411-6722-4071-8130-14fb8512288a,1993,Album
China Crisis,Flaunt The Imperfection,12,6f5da86e-d6ee-48dc-8073-122d5951e765,1985,Album
